run,jd_tdb,body_id,body_name,x,y,z,vx,vy,vz
coarse,2464487.750000000,8,Neptune Barycenter,2.76657156869449885e+01,1.05493914845986048e+01,3.62914069284475360e+00,-1.19086057033142506e-03,2.70259038416132552e-03,1.13583210305919055e-03
coarse,2464487.750000000,9,Pluto Barycenter,2.77835583341616648e+01,-2.09283799114335523e+01,-1.49022004092873424e+01,2.23202404919815118e-03,1.77795109410114425e-03,-1.17653461768072313e-04
coarse,2464487.750000000,10,Sun,-3.77828816743060267e-03,-5.48455978550799108e-03,-2.25220153354907830e-03,5.40089356032148688e-06,-5.16092481964609761e-06,-2.38148560743358174e-06
coarse,2464853.000000000,1,Mercury Barycenter,3.38150884763877113e-01,-1.69345206703535950e-01,-1.24889326705025158e-01,8.64515643272392199e-03,2.29665985846571885e-02,1.13743171038403028e-02
coarse,2464853.000000000,2,Venus Barycenter,-8.10393303999598497e-02,-6.67294479310500566e-01,-2.95070641510052467e-01,1.99766611204249163e-02,-1.64039658681612186e-03,-2.00161190726587737e-03
coarse,2464853.000000000,3,Earth-Moon Barycenter,-2.16201028813829077e-01,-9.17032592662598067e-01,-3.97430540610082872e-01,1.65426983408372766e-02,-3.40396559412740234e-03,-1.47577873100976126e-03
coarse,2464853.000000000,4,Mars Barycenter,-1.14187114881035123e+00,1.06880653749143884e+00,5.21209707171695902e-01,-9.58984416906167453e-03,-7.79256257677387720e-03,-3.31584357397161347e-03
coarse,2464853.000000000,5,Jupiter Barycenter,2.18636962351521325e+00,4.17999668829552462e+00,1.73842596878263311e+00,-6.88369863281430069e-03,3.27751293085495323e-03,1.57233879632586327e-03
coarse,2464853.000000000,6,Saturn Barycenter,-7.00791848945206386e+00,5.35197126533935208e+00,2.51246667159376980e+00,-3.89828806378094252e-03,-4.01647829469594514e-03,-1.49111556004304113e-03
coarse,2464853.000000000,7,Uranus Barycenter,-4.69106103189466062e+00,1.66447249858949888e+01,7.35619661702478655e+00,-3.83772313461046375e-03,-1.08823903904269634e-03,-4.22373465307864318e-04
coarse,2464853.000000000,8,Neptune Barycenter,2.72102644496363659e+01,1.15284135603659674e+01,4.04119851208985281e+00,-1.30275103749127982e-03,2.65757507568076690e-03,1.12019287672096048e-03
