comparison,jd_tdb,body_id,body_name,position_residual_au,position_residual_km,velocity_residual_au_per_day,velocity_residual_m_per_s
coarse_vs_tight,2464853.000000000,2,Venus Barycenter,5.44506460281871216e-15,8.14570070405620530e-07,1.51087997787562402e-16,2.61602346728537570e-10
coarse_vs_tight,2464853.000000000,3,Earth-Moon Barycenter,2.37549462997806003e-15,3.55368938504002124e-07,4.04068636931663411e-17,6.99627403954030361e-11
coarse_vs_tight,2464853.000000000,4,Mars Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,8.67361737988403547e-19,1.50179941122357023e-12
coarse_vs_tight,2464853.000000000,5,Jupiter Barycenter,4.44089209850062616e-16,6.64348001944148283e-08,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464853.000000000,6,Saturn Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464853.000000000,7,Uranus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464853.000000000,8,Neptune Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464853.000000000,9,Pluto Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
coarse_vs_tight,2464853.000000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461200.500000000,1,Mercury Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461200.500000000,2,Venus Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461200.500000000,3,Earth-Moon Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461200.500000000,4,Mars Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2461200.500000000,5,Jupiter Barycenter,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
